title,rating,ratingLevel,ratingDescription,release_year,user_rating_score,user_rating_size
0,Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98.0,80
1,Supernatural,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80
2,Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96.0,80
3,Once Upon a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98.0,80
4,Sherlock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80
5,Black Mirror,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,80.0,80
6,The Originals,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74.0,80
7,The 100,NR,This movie has not been rated.,124,2016,97.0,80
8,Marvel's Luke Cage,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95.0,80
9,Narcos,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,94.0,80
10,The Flash,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98.0,80
11,The Seven Deadly Sins,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
12,Scream,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
13,The Do-Over,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84.0,80
14,0.03,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
15,Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,83.0,80
16,Fearless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
17,White Girl,UR,"This movie has not been rated. Intended for adults only and may contain sex, violence, drugs, language or other adult themes.",124,2016,,82
18,Salvador Martinha - Tip of the Tongue,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
19,O Amor no Diṿ,TV-MA,,110,2016,,82
20,Stronger Than the World,NR,,124,2016,,82
21,Back and Forth,NR,This movie has not been rated.,124,2016,,82
22,Pandora,TV-MA,,110,2016,,82
23,Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98.0,80
24,Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97.0,80
25,New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91.0,80
26,American Horror Story,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,90.0,80
27,Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,98.0,80
28,Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83.0,80
29,How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80
30,The OA,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
31,Stranger Things,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,90.0,80
32,Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97.0,80
33,Meet the Blacks,R,"pervasive language, some sexual material, violence and drug use",100,2016,79.0,80
34,Finding Dory,PG,mild thematic elements,60,2016,98.0,80
35,Sausage Party,R,"strong crude sexual content, pervasive language, and drug use",100,2016,91.0,80
36,Pete's Dragon,PG,"for action, peril and brief language",60,2016,93.0,80
37,Kevin Hart: What Now?,R,"some sexual material, and language throughout",100,2016,97.0,80
38,Cheer Squad,TV-PG,,70,2016,61.0,80
39,Only for One Night,TV-MA,,110,2016,78.0,80
40,It's Always Sunny in Philadelphia,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91.0,80
41,Portlandia,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62.0,80
42,Halt and Catch Fire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
43,Documentary Now!,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
44,Better Call Saul,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95.0,80
45,Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74.0,80
46,Lovesick,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
47,Flaked,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
48,Cooper Barrett's Guide to Surviving Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
49,The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94.0,80
50,Easy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
51,No Tomorrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
52,Minimalism: A Documentary About the Important Things,TV-PG,,70,2016,,82
53,Almost Adults,NR,This movie has not been rated.,124,2016,,82
54,BoJack Horseman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
55,Being Mary Jane: The Series,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
56,Unbreakable Kimmy Schmidt,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
57,Bordertown,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,86.0,80
58,Jane The Virgin,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91.0,80
59,The Carmichael Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69.0,80
60,Haters Back Off,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,58.0,80
61,Kubo and the Two Strings,PG,"thematic elements, scary images, action and peril",60,2016,96.0,80
62,A Weekend with the Family,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
63,Crazyhead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
64,Queen of Katwe,PG,"thematic elements, an accident scene and some suggestive material",60,2016,,81
65,Little Boxes,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,61.0,80
66,Hurricane Bianca,TV-MA,,110,2016,,82
67,Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62.0,80
68,Lazy Eye,TV-MA,,110,2016,,82
69,Like Cotton Twines,NR,,124,2016,,82
70,The Wedding Party,TV-14,,90,2016,,82
71,Boy Bye,TV-MA,,110,2016,,82
72,Baby Daddy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,80.0,80
73,The Great Gilly Hopkins,PG,for thematic material and language,60,2016,69.0,80
74,The Magicians,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,89.0,80
75,Better Off Single,TV-MA,,110,2016,,82
76,The Matchbreaker,PG,Parental guidance suggested. May not be suitable for children.,60,2016,79.0,80
77,Fuller House,TV-G,Suitable for all ages.,35,2016,90.0,80
78,Gilmore Girls: A Year in the Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,77.0,80
79,Gabriel lglesias: I�۪m Sorry For What I Said When I Was Hungry,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84.0,80
80,Bones,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97.0,80
81,NCIS,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97.0,80
82,Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92.0,80
83,Skin Wars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69.0,80
84,House of Cards,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91.0,80
85,The Blacklist,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96.0,80
86,The Fosters,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,73.0,80
87,Bitten,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,56.0,80
88,London Has Fallen,R,strong violence and language throughout,100,2016,96.0,80
89,Bloodline,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
90,Velvet,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
91,The Crown,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84.0,80
92,Quantico,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88.0,80
93,100 Metros,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
94,Hawaii Five-0,TV-14,"dialogue, language, sexual situations and violence",90,2016,96.0,80
95,Person of Interest,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,93.0,80
96,Longmire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92.0,80
97,Ripper Street,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
98,The Fall,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,61.0,80
99,Death in Paradise,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,77.0,80
100,Marvel's Agents of S.H.I.E.L.D.,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,89.0,80
101,Gotham,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,85.0,80
102,Hap and Leonard,TV-MA,,110,2016,57.0,80
103,Limitless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84.0,80
104,Travelers,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,86.0,80
105,The Doctor Blake Mysteries,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,57.0,80
106,I.T,NR,,124,2016,,82
107,Bordertown,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
108,Blue Bloods,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80
109,Rectify,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
110,American Crime,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
111,Madam Secretary,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,70.0,80
112,American Crime Story: The People v. O.J. Simpson,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,79.0,80
113,Transformers: Rescue Bots,TV-Y7,Suitable for children ages 7 and older,41,2016,,82
114,VeggieTales in the House,TV-Y,Suitable for all ages.,10,2016,,82
115,All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71.0,80
116,Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82
117,The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97.0,80
118,The Angry Birds Movie,PG,for rude humor and action,60,2016,92.0,80
119,The Secret Life of Pets,PG,for action and some rude humor,60,2016,,81
120,Marvel's Hulk: Where Monsters Dwell,PG,"action violence throughout, some scary images, and language",60,2016,,82
121,Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61.0,80
122,Ratchet and Clank,PG,action and some rude humor,60,2016,74.0,80
123,The Adventures of Puss in Boots,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,78.0,80
124,Kulipari: An Army of Frogs,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82
125,Transformers: Robots in Disguise,TV-Y7,Suitable for children ages 7 and older,41,2016,,82
126,LEGO Bionicle: The Journey to One,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82
127,Power Rangers Dino Super Charge,TV-Y7,Suitable for children ages 7 and older,41,2016,,82
128,Skylanders Academy,TV-Y7,Suitable for children ages 7 and older,41,2016,,82
129,Growing Up Wild,G,,35,2016,80.0,80
130,Lab Rats,TV-Y7,Suitable for children ages 7 and older,41,2016,85.0,80
131,Mother Goose Club,TV-Y,Suitable for all ages.,10,2016,,82
132,Kung Fu Panda 3,PG,martial arts action and some mild rude humor,60,2016,92.0,80
133,The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,,82
134,Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96.0,80
135,Ask the StoryBots,TV-Y,Suitable for all ages.,10,2016,,82
136,Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77.0,80
137,Little Baby Bum: Nursery Rhyme Friends,TV-Y,Suitable for all ages.,10,2016,,82
138,Word Party,TV-Y,Suitable for all ages.,10,2016,,82
139,Bunk'd,TV-G,Suitable for all ages.,35,2016,61.0,80
140,The BFG,PG,"for action/peril, some scary moments and brief rude humor",60,2016,97.0,80
141,Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,,82
142,Quackerz,PG,"rude and suggestive humor, and some action",60,2016,,82
143,Puffin Rock,TV-Y,Suitable for all ages.,10,2016,,82
144,LEGO Jurassic World: The Indominus Escape,TV-Y7,Suitable for children ages 7 and older,41,2016,,82
145,Pup Star,G,General Audiences. Suitable for all ages.,35,2016,,82
0,The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91.0,80
1,Marvel's Iron Fist,TV-MA,,110,2017,98.0,80
2,Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,82.0,80
3,Girlboss,TV-MA,,110,2017,94.0,80
4,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99.0,80
5,Sand Castle,TV-MA,,110,2017,89.0,80
6,Sandy Wexler,TV-14,,90,2017,92.0,80
7,Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90.0,80
8,The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80.0,80
9,Love,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82
10,Ingobernable,TV-MA,,110,2017,96.0,80
11,The Discovery,TV-MA,,110,2017,,82
12,Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,93.0,80
13,Chef's Table,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82
14,Chelsea,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82
15,Abstract: The Art of Design,TV-14,,90,2017,,82
16,Crazy Ex-Girlfriend,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,,82
17,Hot Girls Wanted: Turned On,TV-MA,,110,2017,,82
18,Win It All,TV-MA,,110,2017,,82
19,Amy Schumer: The Leather Special,TV-MA,,110,2017,,82
20,Louis C.K. 2017,TV-MA,,110,2017,71.0,80
21,Dave Chappelle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,94.0,80
22,Skins,TV-MA,,110,2017,,82
23,Deidra & Laney Rob a Train,TV-14,,90,2017,,82
24,Sense8,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,81.0,80
25,One Day at a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,,82
26,Tramps,TV-MA,,110,2017,,82
27,Slam,TV-MA,,110,2017,,82
28,Felipe Neto: My Life Makes No Sense,TV-MA,,110,2017,,82
29,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82
30,Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82
31,Voltron: Legendary Defender,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82
32,Buddy Thunderstruck,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,,82
33,Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88.0,80
34,Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,41,2017,72.0,80
35,Home: Adventures with Tip & Oh,TV-Y7,Suitable for children ages 7 and older,41,2017,,82
36,The Mr. Peabody and Sherman Show,TV-Y7,Suitable for children ages 7 and older,41,2017,,82
